language_id,description
1,"Gosto de receber palavras de afirmação."
5,"Gosto de ser abraçado."
2,"Gosto de passar tempo a sós com alguém especial para mim."
4,"Sinto-me amado quando alguém me oferece ajuda prática."
3,"Gosto quando me dão presentes."
2,"Gosto de visitas sem pressa com amigos e entes queridos."
4,"Sinto-me amado quando as pessoas fazem coisas para ajudar-me."
5,"Sinto-me amado quando as pessoas me tocam."
5,"Sinto-me amado quando alguém que amo ou admiro me rodeia com o braço."
3,"Sinto-me amado quando recebo um presente de alguém que amo e admiro."
2,"Gosto de sair com amigos e entes queridos."
5,"Gosto de bater palma com palma ou ficar de mãos dadas com pessoas especiais para mim."
3,"Símbolos visíveis de amor (presentes) são importantes para mim."
1,"Sinto-me amado quando as pessoas me afirmam."
2,"Gosto de sentar perto das pessoas a quem aprecio."
1,"Gosto de que me digam que sou atraente/bonito."
2,"Gosto de passar tempo com amigos e entes queridos."
3,"Gosto de receber presentinhos de amigos e entes queridos."
1,"Palavras de aceitação são importantes para mim."
4,"Sei que alguém me ama quando ele ou ela me ajuda."
2,"Gosto de estar junto e fazer coisas com amigos e entes queridos."
1,"Gosto quando me dizem palavras bondosas."
4,"O que a pessoa faz me afeta mais que aquilo que ela diz."
5,"Os abraços me fazem sentir participante e apreciado."
1,"Aprecio o louvor e tento evitar as críticas."
3,"Vários presentes pequenos significam mais para mim que um grande."
2,"Sinto-me íntimo de alguém quando estamos conversando ou fazendo coisas juntos."
5,"Sinto-me mais perto dos amigos e entes queridos quando eles me tocam com freqüência."
1,"Gosto de que as pessoas elogiem minhas realizações."
4,"Sei que as pessoas me amam quando fazem coisas para mim que por si mesmas não fariam."
5,"Gosto de ser tocado quando amigos e entes queridos passam perto de mim."
2,"Gosto quando as pessoas me ouvem e mostram interesse genuíno no que estou dizendo."
4,"Sinto-me amado quando amigos e entes queridos me ajudam em trabalhos e projetos."
3,"Gosto realmente de receber presentes de amigos e entes queridos."
1,"Gosto que as pessoas elogiem minha aparência."
2,"Sinto-me amado quando as pessoas tomam tempo para entender meus sentimentos."
5,"Sinto-me seguro quando uma pessoa especial toca em mim."
4,"Atos de serviço fazem com que me sinta amado."
4,"Aprecio as muitas coisas que pessoas especiais fazem para mim."
3,"Gosto de receber presentes que pessoas especiais fazem para mim."
2,"Aprecio realmente o sentimento que tenho quando alguém me dá total atenção."
4,"Aprecio realmente o sentimento que tenho quando alguém me presta algum ato de serviço."
3,"Sinto-me amado quando uma pessoa comemora meu aniversário com um presente."
1,"Sinto-me amado quando uma pessoa comemora meu aniversário com palavras significativas."
3,"Sei o que a pessoa está pensando de mim quando me dá um presente."
4,"Sinto-me amado quando a pessoa me ajuda nas tarefas diárias."
2,"Aprecio quando alguém me ouve com paciência e não me interrompe."
3,"Aprecio quando alguém lembra de dias especiais com um presente."
4,"Gosto de saber que os entes queridos estão preocupados em ajudar-me nas tarefas diárias."
2,"Gosto de fazer viagens longas com alguém que é especial para mim."
5,"Gosto de beijar ou ser beijado por pessoas de minha intimidade."
3,"Receber presentes sem qualquer razão especial me deixa contente."
1,"Gosto que me digam que sou querido."
2,"Gosto que a pessoa olhe para mim enquanto falamos."
3,"Presentes de um amigo ou ente querido são sempre especiais para mim."
5,"Sinto-me bem quando um amigo ou ente querido me toca."
4,"Sinto-me amado quando alguém faz com entusiasmo o que pedi."
1,"Sinto-me amado quando dizem o quanto me apreciam."
1,"Preciso ser tocado todos os dias."
5,"Preciso de palavras de afirmação todos os dias."
